Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
tas,Other_mining ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
tas,Other_mining ,,,Energy consumption,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,"    Wood, woodwaste        ",,,3.3,3.7,2.6,2.7,2.7,2.3,2.6,2.7,2.5,2.2,1.3,1.6,1.9,1.9,1.8,1.8,1.9,2.1,1.4
tas,Manufacturing                             ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    LPG                    ,,,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3
tas,Manufacturing                             ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Kerosene and Heating oil  ,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0
tas,Manufacturing                             ,    Diesel                    ,,,0.6,0.6,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.3
tas,Manufacturing                             ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Petroleum products nec ,,,1.2,1.2,2.9,2.9,3.1,3.2,3.4,3.3,3.2,3.2,3.2,4.2,4.8,5,4.1,4.2,4.3,4.3,4.5
tas,Manufacturing                             ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Natural gas            ,,,,,0.5,0.5,0.9,0.8,1,1.1,3.7,3.6,5,3.3,3.5,3.8,4.3,4.2,4.3,4.5,3.9
tas,Manufacturing                             ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,    Electricity            ,,,19.9,20.4,21.5,21.5,23.3,22.3,24.4,23.8,22.5,22.8,23.5,21.9,22.5,22.4,22.4,22.3,22.7,23.5,22.7
tas,Manufacturing                             ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Coal byproducts        ,,0.6,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
tas,Manufacturing                             ,,,Energy consumption,35.8,47.1,36.9,37.1,39.8,38.5,40.7,40.5,45.2,44.1,44.1,40.8,45.3,44.8,44.7,42.9,44.7,45.8,43.3
tas,Food_beverages,,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,    Brown coal,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,    Crude Oil and Other Refinery Feedstock     ,,,,,,,,,,,,,,,,,,,,,
tas,Food_beverages,    LPG                    ,,,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1
tas,Food_beverages,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
