Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
qld,Oil_and_gas,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Natural gas            ,,,,,8.4,9,9.6,10.3,11,13.9,11.6,16.5,15,15.3,16.5,18.1,27.5,64.4,101.2,110,113.4
qld,Oil_and_gas,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,    Electricity            ,,,,,1,1,1.5,1.6,1.7,2,1.8,1.9,1.8,2,2,2.3,7.3,17.4,23.4,25,26.3
qld,Oil_and_gas,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
qld,Oil_and_gas,,,Energy consumption,,,9.8,10.5,12.1,12.9,13.8,17.1,14.4,19.4,17.4,18.3,21.5,24.7,37.9,83.1,125.9,136.2,141.7
qld,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,    Electricity            ,,,,,5.2,5.6,5,4.9,4.2,4.6,7.5,7.5,8.6,10.2,10.1,10.1,10.2,9.4,8.2,8.6,10
qld,Other_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
qld,Other_mining ,,,Energy consumption,,,8.8,9,8.7,8.4,8.4,9.4,12.3,13.9,14.9,17.7,21.5,20.7,21.4,18.4,17.7,18.2,19.3
qld,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Black coal             ,,,52.7,52,49.8,50.4,54.8,53.9,56.4,59.6,54.8,52.7,45.2,44.4,47.1,47.6,49.5,52.6,47,47.2,44.3
qld,Manufacturing                             ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,"    Wood, woodwaste        ",,,1.5,1.5,2.4,2.5,2.6,3.5,3.8,4.4,3.6,3.5,3,2.6,2.9,3,3.1,3.8,3.7,3.2,3.1
qld,Manufacturing                             ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    LPG                    ,,,1.3,1.2,1.5,1.9,2.4,4.2,3.5,4.1,4.1,5.7,5.9,5.9,5.2,4.7,6.2,6.2,4.4,4.5,4.6
qld,Manufacturing                             ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Auto gasoline-unleaded ,,,,,0,0,0,0,0,0,0,0,1.1,0.8,0.5,0.6,0.2,0.4,0,0,0
qld,Manufacturing                             ,    Aviation gasoline      ,,,,,,,,,,,,0,0,,,0,0,,,,
qld,Manufacturing                             ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Kerosene and Heating oil  ,,,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1
qld,Manufacturing                             ,    Diesel                    ,,,2.2,2.2,5.1,4.7,4.7,4.3,4.9,3.4,3.8,3.7,5.9,6.9,10.2,9.7,9.7,8.3,9.7,9.5,10.8
qld,Manufacturing                             ,    Fuel oil               ,,,10,9.6,9,8.7,8.5,10.8,9,8,6.4,7.6,11.5,11.4,8.6,14.7,21.1,4.9,6.7,5.4,0.6
qld,Manufacturing                             ,    Petroleum products nec ,,,20.6,19.9,29.4,31.8,61.4,61.5,61.9,55.2,58,51.4,30.9,45.8,46.9,55.3,48,25.9,23.7,33,31.1
qld,Manufacturing                             ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
qld,Manufacturing                             ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
